,doc_hdr_id,doc_typ_nm,doc_crte_dt,crte_dt,doc_mdfn_dt,actn_rqst_cd,campus,concentration1,concentration2,department1,department2,major1,major2,minor1,minor2,requestedof,dayssincerequest,dayssincecreate
0,10012268,UGS-MAAdvancedDegree.ParentDoctype,13-Feb-12,10-Apr-12,10-Apr-12,Approve,BL,,,SPHS,,SPHSMA,,,,danharri,2857,2914
1,12016644,UGS-MAAdvancedDegree.ParentDoctype,17-Dec-12,23-Aug-13,07-Jan-13,Approve,BL,,,SPHS,,SPHSMA,,,,UGS.BL.MAAdvDeg.SPHS2,2357,2606
2,16960387,UGS.Committee.Doctype,14-Jun-13,16-Feb-15,14-Jun-13,Approve,BL,,,CSCI,,CSCIPHD,,,,jklingin,1815,2427
3,21974641,UGS-MAAdvancedDegree.ParentDoctype,21-Aug-13,10-Sep-13,21-Aug-13,Approve,BL,,,SPHS,,SPHSMA,,,,UGS.BL.MAAdvDeg.SPHS2,2339,2359
4,22067259,UGS.Committee.Doctype,24-Aug-13,26-Aug-13,24-Aug-13,Approve,BL,,,PHYS,,PHYSPHD,,G,,moore54,2354,2356
5,22619624,UGS-MAAdvancedDegree.ParentDoctype,15-Sep-13,30-Sep-13,15-Sep-13,Approve,IN,,,COMM,,APLCMMA,,,,farabous,2319,2334
6,22888186,UGS-MAAdvancedDegree.ParentDoctype,25-Sep-13,26-Sep-13,25-Sep-13,Approve,IN,,,BIOC,,BIOCMBIOMS,,,,anvaliya,2323,2324
7,23475188,UGS-MAAdvancedDegree.ParentDoctype,16-Oct-13,30-Apr-15,16-Oct-13,Approve,IN,,,GEOG,,GISMS,,,,falhajmo,1742,2303
8,25178749,UGS-MAAdvancedDegree.ParentDoctype,02-Jan-14,18-Apr-14,02-Jan-14,Approve,IN,,,GEOG,,GISMS,,,,bsperl,2119,2225
9,25462417,UGS-MAAdvancedDegree.ParentDoctype,16-Jan-14,14-Nov-14,16-Jan-14,Approve,IN,,,COMM,,APLCMMA,,,,lquandt,1909,2211
10,25464891,UGS-MAAdvancedDegree.ParentDoctype,16-Jan-14,12-Jan-15,16-Jan-14,Approve,IN,,,HIST,,HISTMA,,,,mattstar,1850,2211
11,25537943,UGS-MAAdvancedDegree.ParentDoctype,18-Jan-14,13-Mar-14,18-Jan-14,Approve,IN,,,POLS,,POLSMA,,,,peislin,2155,2209
12,25635849,UGS-MAAdvancedDegree.ParentDoctype,23-Jan-14,01-Apr-14,23-Jan-14,Approve,IN,,,ECON,,ECONMA,,,,iaareces,2136,2204
13,25904472,UGS-MAAdvancedDegree.ParentDoctype,04-Feb-14,01-Apr-14,11-Feb-14,Approve,IN,,,PHIL,,PHILMA,,,,avrua,2136,2192
14,26026823,UGS-MAAdvancedDegree.ParentDoctype,10-Feb-14,13-May-15,10-Feb-14,Approve,IN,,,SPAN,,SPANMAT,,,,amnscott,1729,2186
