,doc_hdr_id,doc_typ_nm,doc_crte_dt,crte_dt,doc_mdfn_dt,actn_rqst_cd,prncpl_nm,grp_nm,qual_role_nm,fld_nm,fld_val
0,10012268,UGS-MAAdvancedDegree.ParentDoctype,13-Feb-12,10-Apr-12,10-Apr-12,A,danharri,0,0,department,BL-SPHS
1,10012268,UGS-MAAdvancedDegree.ParentDoctype,13-Feb-12,10-Apr-12,10-Apr-12,A,danharri,0,0,major,BL-SPHSMA
2,10012268,UGS-MAAdvancedDegree.ParentDoctype,13-Feb-12,10-Apr-12,10-Apr-12,A,danharri,0,0,campus,BL
3,12016644,UGS-MAAdvancedDegree.ParentDoctype,17-Dec-12,23-Aug-13,07-Jan-13,A,0,UGS.BL.MAAdvDeg.SPHS2,0,department,BL-SPHS
4,12016644,UGS-MAAdvancedDegree.ParentDoctype,17-Dec-12,23-Aug-13,07-Jan-13,A,0,UGS.BL.MAAdvDeg.SPHS2,0,major,BL-SPHSMA
5,12016644,UGS-MAAdvancedDegree.ParentDoctype,17-Dec-12,23-Aug-13,07-Jan-13,A,0,UGS.BL.MAAdvDeg.SPHS2,0,campus,BL
6,16960387,UGS.Committee.Doctype,14-Jun-13,16-Feb-15,14-Jun-13,A,jklingin,0,0,department1,BL-CSCI
7,16960387,UGS.Committee.Doctype,14-Jun-13,16-Feb-15,14-Jun-13,A,jklingin,0,0,department2,Select
8,16960387,UGS.Committee.Doctype,14-Jun-13,16-Feb-15,14-Jun-13,A,jklingin,0,0,major1,BL-CSCIPHD
9,16960387,UGS.Committee.Doctype,14-Jun-13,16-Feb-15,14-Jun-13,A,jklingin,0,0,major2,Select
10,16960387,UGS.Committee.Doctype,14-Jun-13,16-Feb-15,14-Jun-13,A,jklingin,0,0,minor1,
11,16960387,UGS.Committee.Doctype,14-Jun-13,16-Feb-15,14-Jun-13,A,jklingin,0,0,minor2,
12,21974641,UGS-MAAdvancedDegree.ParentDoctype,21-Aug-13,10-Sep-13,21-Aug-13,A,0,UGS.BL.MAAdvDeg.SPHS2,0,campus,BL
13,21974641,UGS-MAAdvancedDegree.ParentDoctype,21-Aug-13,10-Sep-13,21-Aug-13,A,0,UGS.BL.MAAdvDeg.SPHS2,0,department,BL-SPHS
14,21974641,UGS-MAAdvancedDegree.ParentDoctype,21-Aug-13,10-Sep-13,21-Aug-13,A,0,UGS.BL.MAAdvDeg.SPHS2,0,major,BL-SPHSMA
15,22067259,UGS.Committee.Doctype,24-Aug-13,26-Aug-13,24-Aug-13,A,moore54,0,0,department1,BL-PHYS
16,22067259,UGS.Committee.Doctype,24-Aug-13,26-Aug-13,24-Aug-13,A,moore54,0,0,department2,Select
17,22067259,UGS.Committee.Doctype,24-Aug-13,26-Aug-13,24-Aug-13,A,moore54,0,0,major1,BL-PHYSPHD
18,22067259,UGS.Committee.Doctype,24-Aug-13,26-Aug-13,24-Aug-13,A,moore54,0,0,major2,Select
19,22067259,UGS.Committee.Doctype,24-Aug-13,26-Aug-13,24-Aug-13,A,moore54,0,0,minor1,G
20,22067259,UGS.Committee.Doctype,24-Aug-13,26-Aug-13,24-Aug-13,A,moore54,0,0,minor2,
21,22619624,UGS-MAAdvancedDegree.ParentDoctype,15-Sep-13,30-Sep-13,15-Sep-13,A,farabous,0,0,campus,IN
22,22619624,UGS-MAAdvancedDegree.ParentDoctype,15-Sep-13,30-Sep-13,15-Sep-13,A,farabous,0,0,department,IN-COMM
